Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
ExhibitB,https://raw.githubusercontent.com/MCOETech/Exhibit/main/ExhibitB.png,0:00:15,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibitwifi,https://raw.githubusercontent.com/MCOETech/Exhibit/main/Exhibitwifi.png,0:00:15,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibithelp,https://raw.githubusercontent.com/MCOETech/Exhibit/main/Exhibithelp.png,0:00:15,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
falala,https://github.com/MCOETech/Exhibit/blob/main/falala.mp4?raw=true,0:00:15,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
